gene_id	gene_name	HD1	HD2	HD3	HND1	HND2	HND3
ENSG00000000003	TSPAN6	594.535	886	60.687	383.244	839	227.32
ENSG00000000005	TNMD	325.831	68	116.825	86.803	18	184.655
ENSG00000000419	DPM1	12.333	566.999	280.285	142.292	558	138.205
ENSG00000000457	SCYL3	15.061	781.001	253.922	199.421	732.001	50.439
ENSG00000000460	FIRRM	103.082	104	440.868	562.51	94	99.643
ENSG00000000938	FGR	31.173	28	895.91	207.746	58	431.14
ENSG00000000971	CFH	62.738	6408.44	192.762	356.531	7386.263	353.859
ENSG00000001036	FUCA2	182.559	1011	316.607	86.399	809.001	363.215
ENSG00000001084	GCLC	25.408	892	89.545	232.374	875	195.842
ENSG00000001167	NFYA	262.951	794	61.096	152.614	635	614.764
ENSG00000001460	STPG1	453.878	202	93.971	259.984	155	114.54
ENSG00000001461	NIPAL3	366.181	1833.001	220.283	510.532	826.001	222.055
ENSG00000001497	LAS1L	515.52	685.999	125.103	453.785	610	149.938
ENSG00000001561	ENPP4	1009.304	104	290.097	102.728	107	246.538
ENSG00000001617	SEMA3F	341.071	3272.001	57.845	412.334	3280.999	529.54
ENSG00000001626	CFTR	85.652	1456	134.856	120.099	930.001	191.705
ENSG00000001629	ANKIB1	208.994	2537	134.174	59.311	1921	155.65
ENSG00000001630	CYP51A1	216.36	2176.71	10.347	263.918	1428.597	488.05
ENSG00000001631	KRIT1	70.175	857.892	125.524	642.68	809.911	96.171
ENSG00000002016	RAD52	268.768	187.34	471.672	225.541	166.44	1004.44
ENSG00000002079	MYH16	288.919	0	288.014	820.736	0	84.746
ENSG00000002330	BAD	789.395	922.001	595.213	247.772	828.999	9.619
ENSG00000002549	LAP3	200.557	989	440.933	133.863	854	166.708
ENSG00000002586	CD99	73.82	2671.323	420.384	166.685	2820.58	151.953
ENSG00000002587	HS3ST1	138.898	180	210.005	120.537	229	456.764
ENSG00000002726	AOC1	80.159	241	122.888	284.454	94	130.272
ENSG00000002745	WNT16	159.416	14	324.712	131.397	32	288.859
ENSG00000002746	HECW1	49.483	34	251.099	283.363	58	101.639
